"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","31-May-2022","1,401.55","1,395.90","1,404.80","1,380.00","1,384.00","1,388.95","1,396.23","6,742,694","9,414,334,821.10","178,695","4,400,633","65.27"
"HDFCBANK","EQ","01-Jun-2022","1,388.95","1,380.00","1,400.45","1,379.15","1,396.10","1,394.85","1,391.06","6,045,948","8,410,276,065.05","152,770","3,461,082","57.25"
"HDFCBANK","EQ","02-Jun-2022","1,394.85","1,387.25","1,388.00","1,378.60","1,385.20","1,385.10","1,383.53","5,737,510","7,938,005,254.70","160,429","3,458,109","60.27"
"HDFCBANK","EQ","03-Jun-2022","1,385.10","1,398.30","1,400.75","1,376.30","1,379.00","1,380.30","1,388.75","3,478,622","4,830,949,975.05","174,541","1,879,231","54.02"
"HDFCBANK","EQ","06-Jun-2022","1,380.30","1,376.30","1,387.00","1,360.65","1,377.00","1,378.45","1,380.25","3,086,633","4,260,332,744.20","126,359","1,388,767","44.99"
"HDFCBANK","EQ","07-Jun-2022","1,378.45","1,362.00","1,374.30","1,354.10","1,362.15","1,362.60","1,362.41","5,126,983","6,985,065,721.75","133,385","3,414,627","66.60"
"HDFCBANK","EQ","08-Jun-2022","1,362.60","1,373.30","1,381.00","1,357.00","1,366.00","1,367.40","1,369.67","2,993,294","4,099,830,912.80","108,646","1,245,470","41.61"
"HDFCBANK","EQ","09-Jun-2022","1,367.40","1,362.25","1,382.05","1,357.15","1,379.60","1,377.70","1,368.42","3,655,908","5,002,826,094.50","149,498","1,966,831","53.80"
"HDFCBANK","EQ","10-Jun-2022","1,377.70","1,360.10","1,367.95","1,343.60","1,348.75","1,351.10","1,351.94","4,577,715","6,188,800,152.60","159,998","2,841,114","62.06"
"HDFCBANK","EQ","13-Jun-2022","1,351.10","1,323.60","1,330.00","1,308.30","1,329.00","1,326.60","1,318.54","5,446,286","7,181,145,207.65","269,494","3,534,036","64.89"
"HDFCBANK","EQ","14-Jun-2022","1,326.60","1,311.25","1,326.00","1,305.00","1,314.00","1,312.00","1,316.04","5,935,178","7,810,916,645.65","247,100","3,617,141","60.94"
"HDFCBANK","EQ","15-Jun-2022","1,312.00","1,301.65","1,315.80","1,298.40","1,308.45","1,307.45","1,307.49","5,905,235","7,721,044,050.45","239,871","3,262,631","55.25"
"HDFCBANK","EQ","16-Jun-2022","1,307.45","1,310.00","1,320.55","1,278.00","1,279.45","1,281.30","1,297.76","6,084,596","7,896,314,988.40","269,747","3,065,105","50.37"
"HDFCBANK","EQ","17-Jun-2022","1,281.30","1,275.00","1,299.00","1,271.60","1,296.70","1,289.75","1,282.59","7,361,961","9,442,347,329.35","293,741","4,404,126","59.82"
"HDFCBANK","EQ","20-Jun-2022","1,289.75","1,304.70","1,325.00","1,294.15","1,321.95","1,322.15","1,313.17","7,968,420","10,463,910,206.85","214,315","5,178,660","64.99"
"HDFCBANK","EQ","21-Jun-2022","1,322.15","1,336.90","1,354.00","1,324.05","1,333.70","1,336.55","1,341.22","6,610,342","8,865,941,646.10","190,833","3,837,013","58.05"
"HDFCBANK","EQ","22-Jun-2022","1,336.55","1,332.25","1,336.95","1,323.20","1,325.90","1,330.25","1,329.70","4,079,849","5,424,972,795.20","144,197","2,278,477","55.85"
"HDFCBANK","EQ","23-Jun-2022","1,330.25","1,330.50","1,348.00","1,318.50","1,336.60","1,335.15","1,336.91","7,686,122","10,275,634,335.15","224,102","2,899,363","37.72"
"HDFCBANK","EQ","24-Jun-2022","1,335.15","1,338.55","1,361.65","1,338.55","1,355.00","1,353.80","1,354.94","4,006,716","5,428,848,372.95","265,751","2,154,728","53.78"
"HDFCBANK","EQ","27-Jun-2022","1,353.80","1,370.00","1,376.00","1,352.00","1,355.90","1,356.25","1,362.63","4,902,082","6,679,721,013.60","153,532","2,820,551","57.54"
"HDFCBANK","EQ","28-Jun-2022","1,356.25","1,344.00","1,351.00","1,338.40","1,349.90","1,345.90","1,344.55","4,885,287","6,568,495,136.05","170,596","2,978,267","60.96"
"HDFCBANK","EQ","29-Jun-2022","1,345.90","1,331.25","1,350.75","1,331.25","1,343.80","1,343.95","1,343.41","4,997,023","6,713,040,907.65","155,488","3,198,246","64.00"
"HDFCBANK","EQ","30-Jun-2022","1,343.95","1,336.00","1,354.00","1,336.00","1,344.00","1,348.00","1,346.87","6,237,911","8,401,664,068.50","153,516","3,385,436","54.27"
"HDFCBANK","EQ","01-Jul-2022","1,348.00","1,343.95","1,360.00","1,330.05","1,354.95","1,353.75","1,346.28","5,736,226","7,722,538,774.50","147,092","4,059,233","70.76"
"HDFCBANK","EQ","04-Jul-2022","1,353.75","1,353.70","1,360.20","1,342.25","1,356.55","1,355.65","1,352.23","4,243,740","5,738,508,714.75","122,056","2,687,132","63.32"
"HDFCBANK","EQ","05-Jul-2022","1,355.65","1,364.00","1,379.35","1,348.30","1,349.05","1,352.60","1,366.82","7,162,859","9,790,334,619.55","175,254","4,457,746","62.23"
"HDFCBANK","EQ","06-Jul-2022","1,352.60","1,348.00","1,373.40","1,347.10","1,371.55","1,371.25","1,365.48","7,524,539","10,274,605,412.40","175,408","5,292,401","70.34"
"HDFCBANK","EQ","07-Jul-2022","1,371.25","1,380.00","1,398.00","1,374.45","1,395.00","1,395.80","1,387.53","8,871,571","12,309,603,700.50","177,340","6,252,423","70.48"
"HDFCBANK","EQ","08-Jul-2022","1,395.80","1,410.00","1,410.00","1,394.75","1,395.80","1,397.10","1,402.07","6,237,015","8,744,724,388.50","122,217","4,698,117","75.33"
"HDFCBANK","EQ","11-Jul-2022","1,397.10","1,394.00","1,409.90","1,393.25","1,403.20","1,406.15","1,403.07","3,731,440","5,235,481,481.55","115,690","2,385,267","63.92"
"HDFCBANK","EQ","12-Jul-2022","1,406.15","1,405.25","1,405.25","1,389.40","1,391.20","1,391.80","1,395.12","4,938,487","6,889,788,254.60","107,652","3,382,902","68.50"
"HDFCBANK","EQ","13-Jul-2022","1,391.80","1,390.00","1,394.20","1,354.25","1,359.55","1,357.85","1,371.20","7,972,805","10,932,296,276.95","185,857","5,063,094","63.50"
"HDFCBANK","EQ","14-Jul-2022","1,357.85","1,362.00","1,372.65","1,349.25","1,352.00","1,351.05","1,359.74","5,186,205","7,051,894,375.95","156,703","2,992,747","57.71"
"HDFCBANK","EQ","15-Jul-2022","1,351.05","1,353.00","1,364.90","1,346.80","1,364.00","1,362.05","1,357.60","6,797,823","9,228,735,489.20","126,512","4,710,365","69.29"
"HDFCBANK","EQ","18-Jul-2022","1,362.05","1,348.00","1,366.10","1,342.05","1,348.20","1,347.55","1,347.82","10,166,110","13,702,125,272.85","291,810","7,199,900","70.82"
"HDFCBANK","EQ","19-Jul-2022","1,347.55","1,337.00","1,358.55","1,337.00","1,348.20","1,348.05","1,349.05","7,896,269","10,652,452,469.15","141,741","5,088,248","64.44"
"HDFCBANK","EQ","20-Jul-2022","1,348.05","1,359.90","1,371.10","1,355.25","1,363.55","1,365.05","1,364.16","10,173,931","13,878,862,594.90","279,863","7,741,686","76.09"
"HDFCBANK","EQ","21-Jul-2022","1,365.05","1,360.55","1,369.50","1,358.10","1,363.00","1,360.75","1,363.06","6,320,139","8,614,710,412.00","158,369","4,183,622","66.20"
"HDFCBANK","EQ","22-Jul-2022","1,360.75","1,366.00","1,397.00","1,362.40","1,394.40","1,392.50","1,384.48","6,364,796","8,811,947,079.70","190,910","3,533,143","55.51"
"HDFCBANK","EQ","25-Jul-2022","1,392.50","1,395.00","1,404.60","1,383.30","1,394.00","1,396.60","1,393.40","5,071,563","7,066,700,506.25","156,586","2,580,137","50.87"
