"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"CANIS","EQ","31-May-2022","474.60","474.00","476.40","465.00","467.60","468.10","471.12","15,441,579","7,274,761,527.75","149,463","8,086,708","52.37"
"CANIS","EQ","01-Jun-2022","468.10","468.00","472.00","464.70","469.25","468.30","468.69","9,424,008","4,416,955,450.55","119,346","3,343,041","35.47"
"CANIS","EQ","02-Jun-2022","468.30","466.90","472.35","466.15","470.00","469.85","469.68","9,370,989","4,401,383,675.10","114,087","2,829,770","30.20"
"CANIS","EQ","03-Jun-2022","469.85","473.25","475.50","463.50","465.00","464.50","470.15","11,306,291","5,315,646,218.95","114,757","4,956,294","43.84"
"CANIS","EQ","06-Jun-2022","464.50","464.20","465.60","456.50","463.60","463.70","461.88","10,661,432","4,924,334,007.85","137,662","3,701,362","34.72"
"CANIS","EQ","07-Jun-2022","463.70","461.85","465.95","460.50","463.95","463.40","462.95","7,672,515","3,551,990,864.45","108,268","2,930,211","38.19"
"CANIS","EQ","08-Jun-2022","463.40","466.60","475.55","463.20","471.00","471.30","470.58","17,168,871","8,079,264,816.60","192,002","6,597,993","38.43"
"CANIS","EQ","09-Jun-2022","471.30","468.95","470.90","462.45","467.20","466.95","465.94","12,635,601","5,887,439,316.60","158,259","5,413,414","42.84"
"CANIS","EQ","10-Jun-2022","466.95","462.00","464.15","458.60","462.10","461.85","461.60","8,621,104","3,979,479,308.50","127,828","3,062,201","35.52"
"CANIS","EQ","13-Jun-2022","461.85","454.00","454.05","442.10","446.10","445.85","446.07","13,426,836","5,989,284,598.40","203,861","5,856,727","43.62"
"CANIS","EQ","14-Jun-2022","445.85","445.00","449.25","443.35","448.00","448.10","446.47","11,351,101","5,067,902,738.85","136,687","4,257,354","37.51"
"CANIS","EQ","15-Jun-2022","448.10","448.95","455.45","448.60","450.25","451.35","452.60","9,920,926","4,490,231,934.55","119,413","3,821,460","38.52"
"CANIS","EQ","16-Jun-2022","451.35","455.15","457.75","440.15","441.15","441.60","448.44","10,780,703","4,834,445,595.35","139,788","3,802,794","35.27"
"CANIS","EQ","17-Jun-2022","441.60","440.00","447.55","437.25","442.50","441.00","443.05","14,326,050","6,347,137,199.65","167,655","6,062,938","42.32"
"CANIS","EQ","20-Jun-2022","441.00","441.50","443.45","430.70","434.65","434.70","436.85","12,368,534","5,403,153,186.35","172,757","4,715,450","38.12"
"CANIS","EQ","21-Jun-2022","434.70","439.50","454.95","437.60","451.00","450.75","447.76","13,801,891","6,179,936,791.15","178,846","4,775,043","34.60"
