Date ,Close,Volume,No of trades 
27-Feb-23,1083.95,1834553,74276
24-Feb-23,1094.85,1684570,50674
23-Feb-23,1094.35,2139983,77977
22-Feb-23,1092.60,2212194,118301
21-Feb-23,1105.20,1313278,61305
20-Feb-23,1115.70,1706036,68229
17-Feb-23,1109.55,1958807,72982
16-Feb-23,1128.15,2369355,111635
15-Feb-23,1132.90,1648954,50296
14-Feb-23,1125.45,3938046,93554
13-Feb-23,1113.00,2009185,55252
10-Feb-23,1115.65,3185163,95753
9-Feb-23,1146.35,1501083,64833
8-Feb-23,1145.00,2848255,66187
7-Feb-23,1128.25,1931191,45888
6-Feb-23,1145.70,2070175,101211
3-Feb-23,1146.15,1814055,77381
2-Feb-23,1149.60,3048359,133617
1-Feb-23,1132.10,2393911,86744
31-Jan-23,1122.20,4582858,115608
30-Jan-23,1134.75,3508427,123886
27-Jan-23,1115.60,3864525,122687
25-Jan-23,1122.75,2692236,111721
24-Jan-23,1137.85,4861107,105080
23-Jan-23,1121.20,1696834,64903
20-Jan-23,1107.80,4747128,92006
19-Jan-23,1111.40,2298287,82245
18-Jan-23,1115.15,6905092,139197
17-Jan-23,1111.05,4390338,144343
16-Jan-23,1093.70,4508538,124755
13-Jan-23,1077.80,8253765,164436
12-Jan-23,1071.65,4748542,120034
11-Jan-23,1054.80,3594167,97897
10-Jan-23,1063.85,2297082,61481
9-Jan-23,1067.45,4562242,162320
6-Jan-23,1032.80,1887689,48750
5-Jan-23,1044.10,2294943,77635
4-Jan-23,1036.60,1219170,66112
3-Jan-23,1041.35,2484372,63081
2-Jan-23,1039.45,701880,44293
30-Dec-22,1039.30,1860560,45340
29-Dec-22,1044.45,1277244,54909
28-Dec-22,1035.45,1397806,73188
27-Dec-22,1036.35,554319,35656
26-Dec-22,1031.70,1680715,35872
23-Dec-22,1030.60,2177675,83722
22-Dec-22,1039.10,2623451,90875
21-Dec-22,1040.35,2878658,124746
20-Dec-22,1029.70,2629849,73347
19-Dec-22,1033.25,3328172,71094
16-Dec-22,1029.65,5159215,75545
15-Dec-22,1042.35,1906369,61459
14-Dec-22,1056.20,2425507,85480
13-Dec-22,1044.70,2284909,67800
12-Dec-22,1028.40,4275785,131414
9-Dec-22,1027.50,12415478,376687
8-Dec-22,1101.35,1752350,96453
7-Dec-22,1105.90,2399879,81855
6-Dec-22,1120.95,2807894,74078
5-Dec-22,1130.85,2646466,69731
2-Dec-22,1135.55,2944923,94701
1-Dec-22,1136.40,3919684,125943
30-Nov-22,1120.80,6053488,135652
29-Nov-22,1128.95,1785948,81489
28-Nov-22,1118.80,2368293,76589
25-Nov-22,1128.20,1977441,61727
24-Nov-22,1129.60,3295202,102681
23-Nov-22,1103.40,2217599,59877
22-Nov-22,1103.40,2529146,62070
21-Nov-22,1095.50,1733741,54294
18-Nov-22,1103.15,2623894,63634
17-Nov-22,1092.55,2460883,57325
16-Nov-22,1105.20,2213697,74347
15-Nov-22,1103.90,2172420,66887
14-Nov-22,1099.00,2170007,53536
11-Nov-22,1090.65,3923101,113408
10-Nov-22,1052.45,2321667,77697
9-Nov-22,1053.45,2307691,76029
7-Nov-22,1047.15,2213508,77625
4-Nov-22,1045.35,1709158,66918
3-Nov-22,1045.15,2396164,54343
2-Nov-22,1045.20,2799322,81506
1-Nov-22,1060.05,2275488,92133
